code,description
3411,Securities and finance dealers and brokers
3412,Insurance representatives
3413,Estate agents
3415,Technical and commercial sales representatives
3416,Buyers
3417,"Appraisers, valuers and auctioneers"
3431,Administrative secretaries and related associate professionals
3432,Legal and related business associate professionals
3433,Bookkeepers
3439,Administrative associate professionals n.e.c.
3449,"Customs, tax and related government professionals n.e.c."
3460,Social work associate professionals
3471,Decorators and commercial designers
3472,"Radio, television and other announcers"
3475,"Athletes, sportspersons and related associate professionals"
3480,Religious associate professionals
4000,Clerks
4113,Data entry operators
4115,Secretaries
4121,Accounting and bookkeeping clerks
4122,Statistical and finance clerks
4131,Stock clerks
4133,Transport clerks
4141,Library and filing clerks
4142,Mail carriers and sorting clerks
4143,"Coding, proof-reading and related clerks"
4190,Other office clerks
4211,Cashiers and ticket clerks
4212,Tellers and other counter clerks
4213,Bookmakers and croupiers
4215,Debt-collectors and related workers
4221,Travel agency and related clerks
4222,Receptionists and information clerks
4223,Telephone switchboard operators
5000,Service workers and shop and market sales workers
5111,Travel attendants and travel stewards
5112,Transport conductors
5113,Travel guides
5121,Housekeepers and related workers
5122,Cooks
5123,"Waiters, waitresses and bartenders"
5131,Child-care workers
5133,Home-based personal care workers
5139,Personal care and related workers n.e.c.
5141,"Hairdressers, barbers, beauticians and related workers"
5143,Undertakers and embalmers
5149,Other personal services workers n.e.c.
5162,Police officers
5163,Prison guards
5169,Protective services workers n.e.c.
5220,Shop salespersons and demonstrators
6111,Field crop and vegetable growers
6113,"Gardeners, horticultural and nursery growers"
6121,Dairy and livestock producers
6129,Market-oriented animal producers and related workers n.e.c.
6130,Market-oriented crop and animal producers
6151,Aquatic-life cultivation workers
7122,Bricklayers and stonemasons
7123,"Concrete placers, concrete finishers and related workers"
7124,Carpenters and joiners
7129,Building frame and related trades workers n.e.c.
7131,Roofers
7132,Floor layers and tile setters
7133,Plasterers
7134,Insulation workers
7135,Glaziers
7136,Plumbers and pipe fitters
7141,Painters and related workers
7142,Varnishers and related painters
7212,Welders and flamecutters
7213,Sheet metal workers
7215,Riggers and cable splicers
7221,"Blacksmiths, hammer-smiths and forging-press workers"
7222,Tool-makers and related workers
7231,Motor vehicle mechanics and fitters
7233,Agricultural- or industrial-machinery mechanics and fitters
7241,Electrical mechanics and fitters
7243,Electronics mechanics and servicers
7245,"Electrical line installers, repairers and cable jointers"
7313,Jewellery and precious-metal workers
7324,"Glass, ceramics and related decorative painters"
7341,"Compositors, typesetters and related workers"
7343,Printing engravers and etchers
7410,Food processing and related trades workers
7411,"Butchers, fishmongers and related food preparers"
7412,"Bakers, pastry-cooks and confectionery makers"
7422,Cabinet makers and related workers
7435,"Textile, leather and related pattern-makers and cutters"
7436,"Sewers, embroiderers and related workers"
7437,Upholsterers and related workers
8000,Plant and machine operators and assemblers
8113,Well drillers and borers and related workers
8139,"Glass, ceramics and related plant operators n.e.c."
8161,Power-production plant operators
8163,"Incinerator, water-treatment and related plant operators"
8211,Machine-tool operators
8224,Photographic-products machine operators
8232,Plastic-products machine operators
8251,Printing-machine operators
8252,Bookbinding-machine operators
8253,Paper-products machine operators
8262,Weaving- and knitting-machine operators
8263,Sewing-machine operators
8271,Meat- and fish-processing-machine operators
8278,"Brewers, wine and other beverage machine operators"
8290,Other machine operators and assemblers
8300,Drivers and mobile-plant operators
8322,"Car, taxi and van drivers"
8323,Bus and tram drivers
8324,Heavy-truck and lorry drivers
8331,Motorised farm and forestry plant operators
8332,Earth-moving- and related plant operators
8333,"Crane, hoist and related plant operators"
8334,Lifting-truck operators
8340,Ships' deck crews and related workers
9000,Elementary occupations
9112,"Street vendors, non-food products"
9113,Door-to-door and telephone salespersons
9131,Domestic helpers and cleaners
9132,"Helpers and cleaners in offices, hotels and other establishments"
9133,Hand-launderers and pressers
9141,Building caretakers
9142,"Vehicle, window and related cleaners"
9151,"Messengers, package and luggage porters and deliverers"
9152,"Doorkeepers, watchpersons and related workers"
9153,"Vending-machine money collectors, meter readers and related"
9161,Garbage collectors
9211,Farm-hands and labourers
9212,Forestry labourers
9213,"Fishery, hunting and trapping labourers"
9300,"Labourers in mining, construction, manufacturing and transport"
9311,Mining and quarrying labourers
9312,"Construction and maintenance labourers: roads, dams etc"
9313,Building construction labourers
9321,Assembling labourers
9322,Hand packers and other manufacturing labourers
